UTC_Seconds_Of_Day, Lat(deg), Long(deg), WGS84_Ellipsoid_Height(m), S-to-N_Slp, W-to-E_Slp, RMS_Fit(cm), Num_ATM_obs_Used, Num_Of_ATM_obs_Removed, Dist_Block_To_Right_aircraft(m), Track_ID
43922.00, 81.911472, 298.789682, 14.5938, -0.0011597, 0.0012613, 16.43, 431, 4, 234, 1
43922.00, 81.912115, 298.771114, 14.5966, 0.0012330, -0.0012621, 24.01, 169, 3, -65, 2
43922.00, 81.912758, 298.752547, 14.8037, 0.0000000, -0.0003386, 19.91, 461, 10, -365, 3
43922.25, 81.911753, 298.790115, 14.5707, -0.0001639, 0.0019798, 15.93, 430, 8, 233, 1
43922.25, 81.912395, 298.771571, 14.5973, 0.0012965, -0.0008695, 18.82, 165, 5, -66, 2
43922.25, 81.913037, 298.753027, 14.8217, 0.0007500, -0.0002549, 21.56, 467, 7, -365, 3
43922.50, 81.912032, 298.790563, 14.5838, 0.0007820, 0.0025779, 18.01, 422, 12, 232, 1
43922.50, 81.912674, 298.772039, 14.5481, -0.0021481, -0.0013905, 13.33, 158, 4, -66, 2
43922.50, 81.913317, 298.753516, 14.8549, 0.0001043, -0.0003383, 22.98, 458, 7, -365, 3
43922.75, 81.912312, 298.791022, 14.7145, 0.0097493, 0.0066016, 32.47, 417, 17, 232, 1
43922.75, 81.912953, 298.772519, 14.4806, -0.0002328, -0.0012085, 8.69, 153, 8, -66, 2
43922.75, 81.913593, 298.754017, 14.8404, -0.0016927, -0.0009259, 24.29, 465, 4, -365, 3
43923.00, 81.912589, 298.791524, 14.7670, -0.0062196, 0.0038758, 34.30, 407, 21, 232, 1
43923.00, 81.913230, 298.773042, 14.5133, 0.0019071, -0.0008212, 10.45, 161, 7, -66, 2
43923.00, 81.913871, 298.754560, 14.8054, -0.0011540, -0.0010026, 24.83, 473, 3, -364, 3
43923.25, 81.912868, 298.792056, 14.7074, -0.0059398, 0.0023211, 30.03, 410, 23, 233, 1
43923.25, 81.913506, 298.773579, 14.5720, 0.0018285, -0.0010799, 13.33, 163, 6, -65, 2
43923.25, 81.914145, 298.755101, 14.8107, 0.0004279, -0.0007879, 27.08, 474, 4, -363, 3
43923.50, 81.913145, 298.792568, 14.6718, -0.0022722, 0.0023141, 24.98, 411, 22, 233, 1
43923.50, 81.913783, 298.774115, 14.6354, 0.0024637, -0.0015985, 15.23, 164, 3, -64, 2
43923.50, 81.914422, 298.755662, 14.8759, 0.0024748, -0.0002737, 31.56, 462, 8, -362, 3
43923.75, 81.913423, 298.793077, 14.6340, -0.0041654, 0.0015078, 23.40, 418, 18, 234, 1
43923.75, 81.914060, 298.774643, 14.6456, 0.0002431, -0.0018849, 13.78, 154, 12, -63, 2
43923.75, 81.914697, 298.756209, 14.9304, -0.0004040, -0.0009802, 32.19, 473, 6, -361, 3
43924.00, 81.913700, 298.793588, 14.5991, -0.0002460, 0.0021023, 19.13, 410, 28, 234, 1
43924.00, 81.914337, 298.775175, 14.6332, 0.0009556, -0.0009527, 13.05, 158, 10, -63, 2
43924.00, 81.914973, 298.756763, 14.8426, -0.0026781, -0.0020048, 27.89, 473, 7, -360, 3
43924.25, 81.913977, 298.794109, 14.6305, 0.0004271, 0.0022149, 19.38, 404, 25, 235, 1
43924.25, 81.914614, 298.775706, 14.6339, 0.0002589, -0.0003208, 11.46, 163, 8, -62, 2
43924.25, 81.915252, 298.757304, 14.7631, 0.0004856, -0.0018000, 24.56, 477, 7, -359, 3
43924.50, 81.914254, 298.794629, 14.6326, -0.0030386, 0.0010705, 17.71, 413, 12, 235, 1
43924.50, 81.914891, 298.776248, 14.6398, 0.0002374, -0.0001302, 10.75, 159, 10, -61, 2
43924.50, 81.915527, 298.757867, 14.7733, 0.0025096, -0.0014756, 20.53, 473, 9, -357, 3
43924.75, 81.914531, 298.795140, 14.5973, -0.0007807, 0.0014989, 16.28, 423, 6, 235, 1
43924.75, 81.915167, 298.776785, 14.6542, 0.0007847, -0.0001198, 11.99, 159, 5, -60, 2
43924.75, 81.915804, 298.758430, 14.8932, 0.0047513, -0.0009320, 22.60, 476, 5, -356, 3
43925.00, 81.914810, 298.795654, 14.6066, 0.0003097, 0.0014656, 18.11, 416, 12, 236, 1
43925.00, 81.915444, 298.777310, 14.6896, 0.0013526, 0.0000000, 13.84, 161, 4, -60, 2
43925.00, 81.916077, 298.758967, 14.8744, -0.0048032, -0.0031548, 21.42, 475, 5, -355, 3
43925.25, 81.915086, 298.796158, 14.6138, -0.0019344, 0.0004694, 18.94, 416, 10, 236, 1
43925.25, 81.915721, 298.777837, 14.7194, 0.0005009, -0.0001337, 13.81, 163, 4, -59, 2
43925.25, 81.916356, 298.759516, 14.7611, -0.0005722, -0.0020471, 18.99, 479, 7, -354, 3
43925.50, 81.915364, 298.796655, 14.6364, 0.0008623, 0.0006764, 20.59, 407, 23, 236, 1
43925.50, 81.915999, 298.778355, 14.7102, -0.0002576, 0.0002163, 11.89, 165, 6, -59, 2
43925.50, 81.916634, 298.760055, 14.7268, -0.0001920, -0.0020940, 21.34, 470, 8, -354, 3
43925.75, 81.915642, 298.797155, 14.6760, 0.0001551, 0.0003744, 23.50, 405, 32, 236, 1
43925.75, 81.916276, 298.778878, 14.6661, -0.0020986, -0.0001079, 11.09, 160, 3, -58, 2
43925.75, 81.916909, 298.760600, 14.7259, 0.0002319, -0.0018398, 22.19, 469, 9, -353, 3
43926.00, 81.915922, 298.797637, 14.6370, -0.0004158, 0.0010412, 27.38, 397, 29, 236, 1
43926.00, 81.916554, 298.779369, 14.6282, 0.0003237, -0.0001214, 11.20, 157, 3, -58, 2
43926.00, 81.917186, 298.761101, 14.7497, 0.0006598, -0.0016650, 19.52, 478, 4, -352, 3
43926.25, 81.916199, 298.798101, 14.6448, -0.0015404, 0.0000000, 25.55, 395, 34, 236, 1
43926.25, 81.916832, 298.779850, 14.6598, 0.0014176, -0.0001971, 11.79, 160, 8, -58, 2
43926.25, 81.917466, 298.761598, 14.7730, -0.0008229, -0.0017044, 16.96, 476, 2, -352, 3
43926.50, 81.916479, 298.798570, 14.6774, 0.0011910, -0.0002613, 22.70, 410, 21, 236, 1
43926.50, 81.917110, 298.780332, 14.7071, 0.0006742, 0.0002236, 14.45, 163, 8, -58, 2
43926.50, 81.917741, 298.762093, 14.7579, -0.0028773, -0.0015519, 15.97, 480, 3, -352, 3
43926.75, 81.916757, 298.799050, 14.6916, 0.0020621, 0.0003608, 23.61, 425, 10, 236, 1
43926.75, 81.917388, 298.780835, 14.6919, -0.0017412, 0.0000000, 12.43, 165, 6, -58, 2
43926.75, 81.918020, 298.762620, 14.7266, 0.0009039, -0.0005882, 15.10, 486, 3, -351, 3
43927.00, 81.917034, 298.799566, 14.6605, -0.0013806, -0.0001797, 21.10, 422, 11, 236, 1
43927.00, 81.917665, 298.781365, 14.6411, -0.0017425, -0.0005949, 11.47, 165, 3, -57, 2
43927.00, 81.918296, 298.763164, 14.7439, 0.0007044, -0.0008003, 16.17, 484, 7, -351, 3
43927.25, 81.917311, 298.800078, 14.6857, 0.0016927, 0.0002937, 20.67, 422, 10, 236, 1
43927.25, 81.917942, 298.781893, 14.6120, -0.0005209, -0.0004428, 11.36, 161, 3, -57, 2
43927.25, 81.918573, 298.763708, 14.7596, -0.0004166, -0.0009020, 17.13, 488, 5, -350, 3
43927.50, 81.917586, 298.800586, 14.7959, 0.0026954, 0.0004061, 26.73, 425, 19, 237, 1
43927.50, 81.918219, 298.782427, 14.6142, 0.0003172, 0.0001282, 12.18, 157, 6, -56, 2
43927.50, 81.918852, 298.764268, 14.7336, -0.0008057, -0.0010967, 17.99, 485, 1, -349, 3
43927.75, 81.917866, 298.801103, 14.8350, 0.0020582, 0.0006769, 31.29, 422, 13, 237, 1
43927.75, 81.918495, 298.782959, 14.6379, -0.0003823, 0.0002569, 15.27, 162, 3, -55, 2
43927.75, 81.919125, 298.764815, 14.6987, -0.0003042, -0.0012331, 18.40, 460, 16, -348, 3
43928.00, 81.918142, 298.801600, 14.8258, 0.0002261, 0.0006829, 31.13, 415, 18, 237, 1
43928.00, 81.918773, 298.783479, 14.6540, 0.0010818, 0.0004837, 15.43, 163, 5, -55, 2
43928.00, 81.919403, 298.765358, 14.6661, -0.0015115, -0.0013991, 18.58, 473, 16, -347, 3
43928.25, 81.918422, 298.802094, 14.8400, 0.0016460, 0.0005724, 26.46, 408, 25, 237, 1
43928.25, 81.919050, 298.783987, 14.6769, 0.0000000, 0.0008170, 18.72, 166, 4, -54, 2
43928.25, 81.919678, 298.765880, 14.6366, -0.0010778, -0.0010883, 21.12, 473, 9, -346, 3
43928.50, 81.918701, 298.802568, 14.9757, 0.0077739, 0.0024967, 31.23, 420, 15, 237, 1
43928.50, 81.919328, 298.784455, 14.7020, 0.0019825, 0.0024562, 19.51, 164, 4, -55, 2
43928.50, 81.919956, 298.766343, 14.5700, -0.0044247, -0.0016836, 21.81, 478, 6, -346, 3
43928.75, 81.918980, 298.803003, 14.9908, -0.0047929, 0.0007924, 36.20, 429, 5, 236, 1
43928.75, 81.919609, 298.784883, 14.7666, 0.0016961, 0.0027031, 20.84, 161, 2, -56, 2
43928.75, 81.920237, 298.766763, 14.5702, 0.0032714, 0.0003310, 22.17, 488, 3, -348, 3
43929.00, 81.919260, 298.803431, 14.8672, -0.0047076, 0.0005163, 29.71, 427, 11, 235, 1
43929.00, 81.919889, 298.785309, 14.8114, 0.0001642, 0.0012360, 27.05, 160, 2, -57, 2
43929.00, 81.920519, 298.767186, 14.7527, 0.0033102, 0.0006013, 29.83, 472, 13, -349, 3
43929.25, 81.919542, 298.803840, 14.8578, 0.0000000, 0.0013268, 27.55, 431, 12, 234, 1
43929.25, 81.920170, 298.785709, 14.8091, 0.0000000, -0.0008001, 26.02, 164, 1, -58, 2
43929.25, 81.920797, 298.767578, 14.8531, -0.0026762, 0.0000000, 29.17, 470, 18, -350, 3
43929.50, 81.919825, 298.804210, 14.9008, 0.0000000, 0.0018980, 33.20, 426, 18, 232, 1
43929.50, 81.920451, 298.786082, 14.7903, 0.0014082, -0.0016006, 21.36, 166, 1, -60, 2
43929.50, 81.921078, 298.767953, 14.8529, -0.0003901, 0.0007994, 23.24, 468, 17, -352, 3
43929.75, 81.920107, 298.804579, 14.8703, -0.0025983, 0.0022153, 36.07, 434, 9, 230, 1
43929.75, 81.920733, 298.786464, 14.7205, -0.0031094, -0.0019879, 22.17, 165, 3, -62, 2
43929.75, 81.921360, 298.768350, 14.8405, 0.0003030, 0.0003424, 23.55, 476, 5, -353, 3
43930.00, 81.920390, 298.804933, 14.8620, 0.0004953, 0.0026245, 33.44, 433, 12, 228, 1
43930.00, 81.921015, 298.786853, 14.6608, 0.0005517, -0.0002795, 20.50, 158, 12, -63, 2
43930.00, 81.921640, 298.768773, 14.8472, 0.0008339, -0.0001872, 26.32, 481, 3, -354, 3
43930.25, 81.920670, 298.805302, 14.8577, -0.0037542, 0.0003895, 28.32, 441, 19, 226, 1
43930.25, 81.921297, 298.787253, 14.8858, 0.0066366, 0.0012098, 42.45, 168, 2, -65, 2
43930.25, 81.921923, 298.769203, 14.8302, -0.0006153, -0.0008293, 26.00, 469, 5, -355, 3
43930.50, 81.920952, 298.805674, 14.8569, -0.0022749, -0.0007073, 25.14, 452, 11, 224, 1
43930.50, 81.921577, 298.787667, 15.0158, 0.0014939, 0.0014401, 46.89, 170, 2, -66, 2
43930.50, 81.922203, 298.769660, 14.9139, 0.0055731, 0.0004590, 28.66, 468, 6, -356, 3
43930.75, 81.921233, 298.806065, 14.8753, 0.0013614, 0.0000000, 24.56, 431, 11, 223, 1
43930.75, 81.921857, 298.788097, 15.0409, -0.0009746, 0.0020512, 43.65, 167, 2, -67, 2
43930.75, 81.922482, 298.770130, 14.9860, 0.0001769, -0.0012757, 32.83, 472, 4, -356, 3
43931.00, 81.921514, 298.806470, 14.8601, -0.0003194, 0.0006286, 25.38, 425, 11, 221, 1
43931.00, 81.922137, 298.788534, 14.9522, -0.0052257, 0.0003378, 39.26, 165, 1, -68, 2
43931.00, 81.922759, 298.770599, 14.9769, 0.0009466, -0.0014346, 32.20, 474, 6, -356, 3
43931.25, 81.921793, 298.806919, 14.8593, -0.0008707, 0.0006359, 25.67, 431, 10, 221, 1
43931.25, 81.922416, 298.789005, 14.8171, -0.0006500, 0.0000000, 28.45, 161, 4, -68, 2
43931.25, 81.923038, 298.771091, 14.9199, -0.0014338, -0.0025865, 28.11, 474, 10, -356, 3
43931.50, 81.922073, 298.807379, 14.8628, -0.0033506, -0.0006700, 22.67, 438, 10, 220, 1
43931.50, 81.922693, 298.789481, 14.7936, 0.0001562, 0.0000000, 23.61, 153, 4, -68, 2
43931.50, 81.923313, 298.771583, 14.8674, 0.0001865, -0.0021564, 25.55, 471, 13, -356, 3
43931.75, 81.922350, 298.807863, 14.8544, 0.0018594, 0.0009010, 23.28, 444, 6, 220, 1
43931.75, 81.922971, 298.789997, 14.8124, 0.0004328, -0.0003402, 26.21, 161, 2, -68, 2
43931.75, 81.923592, 298.772130, 14.8321, -0.0014762, -0.0021140, 23.99, 475, 10, -355, 3
43932.00, 81.922627, 298.808357, 14.8192, -0.0022807, 0.0008911, 27.42, 440, 6, 220, 1
43932.00, 81.923248, 298.790504, 14.8302, -0.0001224, -0.0016676, 29.10, 165, 1, -67, 2
43932.00, 81.923870, 298.772651, 14.8517, 0.0010588, -0.0011395, 24.50, 484, 6, -355, 3
43932.25, 81.922905, 298.808853, 14.8123, -0.0007976, 0.0011904, 29.28, 437, 4, 220, 1
43932.25, 81.923525, 298.791018, 14.7742, 0.0012087, -0.0014778, 21.80, 160, 8, -67, 2
43932.25, 81.924144, 298.773184, 14.8540, -0.0021332, -0.0019004, 23.60, 474, 8, -354, 3
43932.50, 81.923182, 298.809345, 14.9573, 0.0054931, 0.0024102, 29.33, 439, 6, 220, 1
43932.50, 81.923802, 298.791529, 14.7669, 0.0000000, -0.0010406, 24.28, 164, 5, -67, 2
43932.50, 81.924422, 298.773713, 14.8217, 0.0012324, -0.0016739, 24.96, 480, 4, -353, 3
43932.75, 81.923461, 298.809817, 15.2209, 0.0079588, 0.0036952, 37.85, 431, 21, 220, 1
43932.75, 81.924080, 298.792011, 14.7778, 0.0014347, 0.0002169, 25.01, 165, 4, -67, 2
43932.75, 81.924699, 298.774204, 14.8414, 0.0024179, -0.0018832, 29.18, 480, 11, -353, 3
43933.00, 81.923740, 298.810276, 15.2452, -0.0123176, -0.0013804, 43.77, 439, 9, 220, 1
43933.00, 81.924359, 298.792470, 14.7524, -0.0014785, -0.0005419, 20.02, 162, 5, -67, 2
43933.00, 81.924978, 298.774663, 14.8872, 0.0011443, -0.0023146, 36.63, 481, 12, -354, 3
43933.25, 81.924019, 298.810726, 15.1072, 0.0026725, 0.0026933, 41.93, 446, 4, 219, 1
43933.25, 81.924638, 298.792936, 14.7530, 0.0013399, 0.0000000, 20.60, 164, 2, -68, 2
43933.25, 81.925257, 298.775146, 14.9082, 0.0047031, -0.0023099, 37.37, 479, 11, -354, 3
43933.50, 81.924300, 298.811158, 15.0403, -0.0050617, 0.0023211, 36.58, 439, 10, 218, 1
43933.50, 81.924917, 298.793390, 14.7968, 0.0008052, 0.0003106, 28.67, 168, 2, -68, 2
43933.50, 81.925533, 298.775622, 14.9438, -0.0013648, -0.0039400, 37.06, 481, 8, -354, 3
43933.75, 81.924579, 298.811592, 14.9724, -0.0026577, 0.0027051, 37.80, 435, 8, 217, 1
43933.75, 81.925195, 298.793850, 14.8540, 0.0027101, 0.0011359, 31.83, 166, 4, -69, 2
43933.75, 81.925812, 298.776107, 14.9985, -0.0019271, -0.0022815, 33.63, 479, 8, -354, 3
43934.00, 81.924857, 298.812036, 14.9112, -0.0020519, 0.0021848, 33.88, 429, 14, 216, 1
43934.00, 81.925474, 298.794321, 14.9886, 0.0042336, 0.0013239, 30.58, 160, 8, -69, 2
43934.00, 81.926090, 298.776605, 15.0060, -0.0024676, -0.0013572, 31.38, 484, 6, -354, 3
43934.25, 81.925134, 298.812543, 14.9912, 0.0025644, 0.0026452, 29.77, 432, 14, 217, 1
43934.25, 81.925751, 298.794847, 15.0467, -0.0018979, -0.0003415, 39.46, 154, 9, -68, 2
43934.25, 81.926367, 298.777150, 15.0630, 0.0054554, 0.0005260, 39.44, 472, 18, -353, 3
43934.50, 81.925409, 298.813100, 15.0625, -0.0006106, 0.0020063, 30.36, 433, 13, 218, 1
43934.50, 81.926027, 298.795406, 14.9768, -0.0009698, -0.0007430, 42.69, 159, 6, -67, 2
43934.50, 81.926644, 298.777711, 15.3188, 0.0052641, 0.0015883, 49.14, 467, 24, -352, 3
43934.75, 81.925682, 298.813709, 14.9614, -0.0086498, -0.0012982, 33.88, 427, 23, 220, 1
43934.75, 81.926300, 298.796019, 14.8349, -0.0032781, -0.0014592, 28.04, 158, 7, -65, 2
43934.75, 81.926917, 298.778328, 15.5831, 0.0001591, 0.0026843, 51.61, 470, 31, -350, 3
43935.00, 81.925956, 298.814257, 15.0765, 0.0044053, -0.0007098, 40.79, 423, 28, 221, 1
43935.00, 81.926575, 298.796599, 14.8375, 0.0043049, 0.0008202, 27.81, 159, 4, -64, 2
43935.00, 81.927194, 298.778942, 15.4764, -0.0024118, 0.0008623, 49.45, 474, 25, -348, 3
43935.25, 81.926232, 298.814850, 15.0835, -0.0009569, -0.0007581, 41.19, 428, 19, 222, 1
43935.25, 81.926848, 298.797199, 14.9558, 0.0021212, 0.0002600, 33.02, 153, 10, -62, 2
43935.25, 81.927465, 298.779549, 15.0701, -0.0122588, -0.0034407, 38.52, 484, 16, -346, 3
43935.50, 81.926507, 298.815437, 14.9225, -0.0007612, 0.0015082, 27.88, 443, 1, 224, 1
43935.50, 81.927121, 298.797813, 15.0080, 0.0010069, -0.0010007, 33.92, 152, 13, -60, 2
43935.50, 81.927736, 298.780189, 14.7451, -0.0077513, -0.0017619, 23.84, 479, 26, -344, 3
43935.75, 81.926781, 298.815997, 14.8662, -0.0042929, 0.0004855, 26.17, 444, 2, 225, 1
43935.75, 81.927396, 298.798401, 15.0334, 0.0003240, -0.0017873, 32.58, 158, 7, -59, 2
43935.75, 81.928012, 298.780806, 14.6929, -0.0013667, 0.0009303, 17.12, 489, 11, -342, 3
43936.00, 81.927057, 298.816552, 14.7361, -0.0030205, 0.0009697, 21.62, 439, 8, 226, 1
43936.00, 81.927670, 298.798973, 14.9805, -0.0015406, -0.0022173, 31.41, 162, 6, -57, 2
43936.00, 81.928283, 298.781394, 14.6714, -0.0016160, 0.0010323, 16.55, 481, 17, -340, 3
43936.25, 81.927332, 298.817088, 14.6845, -0.0015423, 0.0012699, 16.98, 443, 4, 226, 1
43936.25, 81.927946, 298.799535, 14.9029, -0.0019555, -0.0020079, 33.63, 163, 5, -56, 2
43936.25, 81.928560, 298.781981, 14.7007, 0.0064595, 0.0023395, 23.57, 478, 22, -339, 3
43936.50, 81.927608, 298.817607, 14.7344, 0.0009884, 0.0011783, 16.99, 439, 5, 227, 1
43936.50, 81.928222, 298.800081, 14.8542, 0.0003623, -0.0003917, 32.88, 164, 3, -55, 2
43936.50, 81.928837, 298.782555, 15.0725, 0.0201252, 0.0043389, 35.96, 493, 10, -338, 3
43936.75, 81.927887, 298.818123, 14.7979, -0.0001629, 0.0004424, 21.24, 431, 11, 227, 1
43936.75, 81.928498, 298.800618, 14.9468, 0.0061515, 0.0003555, 35.74, 160, 2, -55, 2
43936.75, 81.929109, 298.783113, 15.3551, 0.0027833, -0.0017617, 50.64, 497, 3, -336, 3
43937.00, 81.928163, 298.818625, 14.7856, -0.0010308, 0.0001266, 22.44, 430, 13, 227, 1
43937.00, 81.928774, 298.801146, 15.0697, 0.0020063, 0.0000000, 40.71, 163, 1, -54, 2
43937.00, 81.929385, 298.783666, 15.1709, -0.0101414, -0.0051625, 41.87, 500, 3, -335, 3
43937.25, 81.928441, 298.819109, 14.8791, 0.0039625, 0.0004240, 23.23, 426, 22, 227, 1
43937.25, 81.929052, 298.801639, 15.1541, 0.0033521, 0.0036997, 41.57, 157, 11, -54, 2
43937.25, 81.929663, 298.784169, 14.9490, -0.0058869, -0.0027775, 27.16, 489, 19, -335, 3
43937.50, 81.928721, 298.819590, 15.2981, 0.0160582, 0.0032223, 50.85, 429, 19, 227, 1
43937.50, 81.929329, 298.802131, 15.1481, -0.0073894, 0.0014026, 40.46, 155, 13, -54, 2
43937.50, 81.929936, 298.784672, 14.9207, -0.0024128, -0.0005461, 23.10, 475, 32, -335, 3
43937.75, 81.928998, 298.820071, 15.3031, -0.0078159, 0.0000000, 60.88, 438, 11, 227, 1
43937.75, 81.929607, 298.802632, 14.8931, -0.0046358, -0.0011073, 23.28, 159, 10, -54, 2
43937.75, 81.930216, 298.785193, 14.9837, 0.0018924, 0.0012651, 27.01, 488, 17, -335, 3
43938.00, 81.929278, 298.820536, 15.2185, 0.0046726, 0.0055926, 61.82, 429, 19, 226, 1
43938.00, 81.929884, 298.803112, 14.7554, -0.0038544, -0.0012462, 16.60, 161, 6, -54, 2
43938.00, 81.930491, 298.785688, 15.0356, 0.0028101, 0.0009307, 26.64, 497, 9, -334, 3
43938.25, 81.929555, 298.821014, 15.0673, -0.0171209, 0.0000000, 44.45, 425, 29, 226, 1
43938.25, 81.930162, 298.803610, 14.7012, -0.0006002, 0.0000000, 18.71, 157, 11, -54, 2
43938.25, 81.930768, 298.786206, 15.0330, -0.0034740, -0.0007976, 25.08, 491, 18, -334, 3
43938.50, 81.929833, 298.821482, 14.8446, -0.0023959, 0.0017015, 30.51, 455, 2, 226, 1
43938.50, 81.930439, 298.804093, 14.7149, -0.0002158, 0.0001297, 21.38, 156, 12, -54, 2
43938.50, 81.931045, 298.786703, 15.0353, 0.0015885, 0.0000000, 33.01, 493, 9, -334, 3
43938.75, 81.930111, 298.821960, 14.9436, 0.0052459, 0.0029931, 26.75, 448, 10, 226, 1
43938.75, 81.930717, 298.804578, 14.7707, 0.0031024, 0.0010316, 23.10, 158, 9, -54, 2
43938.75, 81.931324, 298.787195, 14.9764, -0.0032148, -0.0019253, 31.32, 489, 7, -334, 3
43939.00, 81.930391, 298.822401, 14.9955, -0.0034531, 0.0007722, 27.37, 445, 17, 225, 1
43939.00, 81.930996, 298.805032, 14.8410, 0.0011314, 0.0009424, 25.51, 167, 1, -55, 2
43939.00, 81.931601, 298.787663, 14.8891, -0.0012118, -0.0015783, 21.98, 492, 7, -334, 3
43939.25, 81.930670, 298.822847, 14.9301, -0.0026477, 0.0004551, 28.29, 450, 10, 224, 1
43939.25, 81.931275, 298.805491, 14.8481, 0.0011093, 0.0004973, 22.37, 165, 1, -55, 2
43939.25, 81.931880, 298.788135, 14.9019, -0.0010358, -0.0014060, 24.09, 497, 4, -335, 3
43939.50, 81.930948, 298.823294, 15.0062, 0.0054557, 0.0026821, 30.42, 449, 6, 223, 1
43939.50, 81.931555, 298.805944, 14.8414, -0.0015757, -0.0001673, 21.84, 164, 5, -56, 2
43939.50, 81.932162, 298.788594, 14.8795, -0.0022194, -0.0016423, 24.28, 501, 3, -335, 3
43939.75, 81.931230, 298.823721, 15.0120, -0.0044175, 0.0000000, 27.22, 439, 13, 222, 1
43939.75, 81.931833, 298.806384, 14.7914, -0.0030044, -0.0001141, 22.74, 163, 7, -57, 2
43939.75, 81.932437, 298.789047, 14.8495, 0.0011523, -0.0009445, 19.94, 500, 4, -336, 3
43940.00, 81.931511, 298.824147, 14.9630, -0.0044817, -0.0014708, 22.39, 447, 11, 221, 1
43940.00, 81.932112, 298.806828, 14.7589, -0.0009614, 0.0000000, 26.58, 167, 2, -57, 2
43940.00, 81.932713, 298.789509, 14.8554, 0.0023049, -0.0013984, 21.37, 491, 13, -336, 3
43940.25, 81.931791, 298.824563, 14.9210, 0.0004926, -0.0006400, 19.10, 448, 10, 220, 1
43940.25, 81.932392, 298.807270, 14.7918, 0.0010437, 0.0007176, 27.61, 168, 3, -58, 2
43940.25, 81.932992, 298.789977, 14.8216, -0.0025696, -0.0027719, 22.11, 486, 14, -336, 3
43940.50, 81.932070, 298.825003, 14.9219, -0.0005275, -0.0008591, 18.50, 448, 8, 219, 1
43940.50, 81.932670, 298.807730, 14.8189, -0.0001754, 0.0001881, 26.14, 160, 5, -59, 2
43940.50, 81.933270, 298.790457, 14.7907, -0.0009740, -0.0015036, 21.12, 503, 5, -337, 3
43940.75, 81.932349, 298.825436, 14.8276, -0.0031634, -0.0010017, 17.70, 451, 8, 218, 1
43940.75, 81.932949, 298.808187, 14.9156, 0.0058000, 0.0016032, 28.26, 162, 4, -59, 2
43940.75, 81.933550, 298.790939, 14.8307, 0.0005449, -0.0004065, 22.57, 506, 0, -337, 3
43941.00, 81.932628, 298.825895, 14.8005, 0.0018662, 0.0003384, 19.04, 453, 8, 218, 1
43941.00, 81.933227, 298.808672, 15.0330, 0.0015261, -0.0003579, 32.57, 159, 5, -59, 2
43941.00, 81.933827, 298.791448, 14.9185, 0.0031443, 0.0004512, 26.07, 497, 8, -336, 3
43941.25, 81.932905, 298.826374, 14.9071, 0.0043298, 0.0009658, 23.13, 451, 11, 218, 1
43941.25, 81.933505, 298.809173, 14.9607, -0.0011482, -0.0013655, 25.89, 155, 7, -59, 2
43941.25, 81.934105, 298.791973, 14.9292, -0.0016647, -0.0007251, 28.62, 495, 17, -336, 3
43941.50, 81.933180, 298.826881, 15.0234, 0.0074038, 0.0031381, 29.48, 458, 5, 218, 1
43941.50, 81.933782, 298.809701, 14.9599, 0.0022855, 0.0000000, 24.61, 162, 3, -59, 2
43941.50, 81.934384, 298.792521, 14.9879, 0.0041316, 0.0004062, 31.41, 501, 10, -335, 3
43941.75, 81.933458, 298.827394, 15.0652, -0.0021823, 0.0016313, 31.83, 457, 5, 218, 1
43941.75, 81.934058, 298.810230, 14.9332, -0.0034654, -0.0016393, 27.17, 166, 2, -58, 2
43941.75, 81.934657, 298.793065, 14.9761, -0.0031119, -0.0020934, 33.65, 498, 6, -334, 3
43942.00, 81.933737, 298.827917, 15.0938, 0.0012371, 0.0018718, 30.24, 447, 15, 219, 1
43942.00, 81.934333, 298.810765, 14.8053, -0.0034105, -0.0019949, 23.53, 164, 2, -57, 2
43942.00, 81.934929, 298.793614, 14.9311, 0.0000000, -0.0014254, 35.43, 492, 11, -333, 3
43942.25, 81.934013, 298.828436, 15.1332, -0.0032453, 0.0003850, 34.48, 459, 7, 219, 1
43942.25, 81.934609, 298.811302, 14.7228, -0.0016250, -0.0007530, 20.31, 164, 4, -57, 2
43942.25, 81.935204, 298.794167, 14.9288, -0.0032122, -0.0014742, 28.46, 491, 18, -332, 3
43942.50, 81.934290, 298.828945, 15.0808, -0.0025803, 0.0003017, 33.63, 451, 4, 219, 1
43942.50, 81.934886, 298.811831, 14.6662, -0.0004860, 0.0004469, 17.18, 160, 7, -56, 2
43942.50, 81.935482, 298.794717, 14.8674, 0.0013212, -0.0006030, 27.48, 496, 16, -331, 3
43942.75, 81.934567, 298.829460, 15.0739, 0.0038947, 0.0027311, 31.38, 443, 9, 220, 1
43942.75, 81.935162, 298.812360, 14.7120, 0.0024891, 0.0014266, 18.91, 162, 5, -55, 2
43942.75, 81.935757, 298.795260, 14.9017, 0.0053248, -0.0011036, 30.68, 509, 5, -330, 3
43943.00, 81.934843, 298.829989, 15.1001, 0.0003301, 0.0025146, 33.15, 439, 21, 220, 1
43943.00, 81.935437, 298.812911, 14.8068, 0.0030674, 0.0023462, 20.30, 160, 8, -54, 2
43943.00, 81.936032, 298.795833, 14.9269, -0.0005660, -0.0030946, 25.09, 503, 6, -329, 3
43943.25, 81.935119, 298.830509, 15.1432, -0.0036428, 0.0005142, 42.33, 439, 19, 221, 1
